

"NE Operation Log Records_20210611_184457"
"Save Time: 2021-06-11 18:45:07"
"User Name:admin"
""

"Total 3,099 Records"

"User","User Type","Terminal","Start Time","End Time","Result","Command","Rollback Command","Information","NE Type","NE Name"
EMS\minjaj,EMS,192.168.104.37,2021-05-07 08:10:55,2021-05-07 08:10:55,Succeeded,"DSP MMCTX: QUERYOPT=BYMSISDN, MSISDN=""255746738922"";", ,Operation succeeded(0),USN,KwaleUSN9810
EMS\minjaj,EMS,192.168.104.37,2021-05-07 08:11:13,2021-05-07 08:11:13,Failed,"DSP SMCTX: QUERYOPT=BYMSISDN, MSISDN=""255746738922"", IDTYPE=BYBEARID/NSAPI;", ,Record does not exist.(1354764291),USN,KwaleUSN9810
EMS\vmhina,EMS,192.168.104.37,2021-05-07 08:55:46,2021-05-07 08:55:46,Failed,"DSP IMSI: MSISDN=""255743693048"";", ,Record does not exist.(1354764291),USN,KwaleUSN9810
EMS\vmhina,EMS,192.168.104.37,2021-05-07 08:56:14,2021-05-07 08:56:14,Failed,"DSP IMSI: MSISDN=""255744846868"";", ,Record does not exist.(1354764291),USN,KwaleUSN9810
EMS\vmhina,EMS,192.168.104.37,2021-05-07 09:23:09,2021-05-07 09:23:09,Failed,"DSP IMSI: MSISDN=""255743693048"";", ,Record does not exist.(1354764291),USN,KwaleUSN9810
EMS\vmhina,EMS,192.168.104.37,2021-05-07 09:23:30,2021-05-07 09:23:30,Failed,"DSP IMSI: MSISDN=""255744846868"";", ,Record does not exist.(1354764291),USN,KwaleUSN9810
EMS\vmhina,EMS,192.168.104.37,2021-05-07 10:16:15,2021-05-07 10:16:15,Failed,"DSP IMSI: MSISDN=""255744846868"";", ,Record does not exist.(1354764291),USN,KwaleUSN9810
EMS\sshirima,EMS,192.168.104.37,2021-05-07 16:55:11,2021-05-07 16:55:11,Failed,"DSP IMSI: MSISDN=""255745234824"";", ,Record does not exist.(1354764291),USN,KwaleUSN9810
hmogasa,EMS,192.168.104.37,2021-05-07 18:14:56,2021-05-07 18:14:56,Succeeded,SET LINK:;, ,Execution succeeded,UGW,Kwale_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 18:14:55,2021-05-07 18:14:55,Succeeded,"LGI REQUEST:OP=""hmogasa"",DN=EMS,AUTHTYPE=CHAP,HASHAL=SHA256,SID=684400679;", ,Execution succeeded,UGW,Kwale_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 18:13:27,2021-05-07 18:13:27,Succeeded,"LST MUSTMODPWD:OP=""hmogasa"";", ,Execution succeeded,UGW,Kwale_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 18:13:19,2021-05-07 18:13:19,Succeeded,"LGI:OP=""hmogasa"",PWD =""*****"",SER=""192.168.104.37---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=PUBLICKEY,RAND=""A1A3479E749544819509FCA85C9DC002"",SID=684400679;", ,Execution succeeded,UGW,Kwale_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 17:49:17,2021-05-07 17:49:17,Failed,"LGI:OP=""hmogasa"",PWD =""*****"",SER=""192.168.104.37---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=PUBLICKEY,RAND=""83B7413C259BCC69642CFC58D48A8C07"",SID=1119443233;", ,You do not have the permission to log in to the LMT.,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 17:30:18,2021-05-07 17:30:18,Succeeded,save, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 14:45:51,2021-05-07 14:45:51,Succeeded,quit, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 13:54:10,2021-05-07 13:54:10,Succeeded,"CRE TRC_USER:OP=MSISDN,MSISDN=""255754710287"",MT=GTPC-1&AAA-1&SCEF-1&UP-1&DOWN-1&LPUv4_UP-1&LPUv4_DOWN-1&GY-1&PPP-1&L2TP-1&GX-1&GXC-1&DHCPV4-1&DHCPV6-1&IPV6-1&S6B-1&PMIPV6-1&ICAP-1&S18-1&EMS_SIGNALING-1&EMS_SA-1&EMS_DROP_DATA-1&MSE_UP-1&MSE_DOWN-1&EMS_MSE_DROP_DATA-1&NAP_UP-1&NAP_DOWN-1&EMS_WO_DATA-1&EMS_VO_DATA-1&EMS_NAP_DROP_DATA-1&EMS_MSE_TCPPROXY-1&EMS_MSE_MSD-1&EMS_ICAP_MESSAGE-1&EMS_RESERVE-1&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
